,en,es
VAT:,VAT:,IVA:
Income Tax:,Income Tax:,IRPF:
Tax subsidies too:,Tax subsidies too:,Gravar subsidios:
Automatic mode:,Automatic mode:,Modo automático:
International Prices,International Prices,Precios Internacionales
Retail Prices,Retail Prices,PVP
Ship,Ship,Barco
Mine,Mine,Mina
Worker,Worker,Trabajador
Auto work:,Auto work:,Auto trabajo:
Candy shop,Candy shop,Tienda de dulces
Government,Government,Gobierno
Subsidy receiver,Subsidy receiver,Receptor de subsidios
Tax revenue,Tax revenue,Ingresos fiscales
GDP,GDP,PIB
Tax pressure %,Tax pressure %,Presión fiscal %
Work,Work,Trabajar
Sell ore,Sell ore,Vender mineral
Pay taxes,Pay taxes,Pagar impuestos
Buy candies,Buy candies,Comprar dulces
BT,BT,AI
AT,AT,DI
Before Tax,Before Tax,Antes de Impuestos
After Tax,After Tax,Después de Impuestos
Income of coins,Income of coins,Monedas importadas
Ore exported,Ore exported,Mineral exportado
Coins After Tax,Coins After Tax,Monedas después de impuestos
Ore,Ore,Mineral
Candies sold,Candies sold,Dulces vendidos
Ore owned,Ore owned,Mineral en propiedad
Coins Before Tax,Coins Before Tax,Monedas antes de impuestos
Candies bought,Candies bought,Dulces comprados